beta_deg,theta_deg,range_mm
0.75,61.143,1259.2
0.75,61.851,1250.2
0.75,62.575,1243.2
0.75,63.288,1234.2
0.75,64.0,1227.2
0.75,64.712,1220.2
0.75,65.422,1214.2
0.75,66.134,1207.2
0.75,66.845,1201.2
0.75,67.556,1195.2
0.75,68.267,1189.2
0.75,68.979,1183.2
0.75,69.689,1178.2
0.75,70.4,1172.2
0.75,71.11,1168.2
0.75,71.82,1163.2
0.75,72.53,1159.2
0.75,73.239,1155.2
0.75,73.949,1151.2
0.75,74.66,1146.2
0.75,75.368,1143.2
0.75,76.077,1140.2
0.75,76.787,1136.2
0.75,77.496,1133.2
0.75,78.204,1130.2
0.75,78.912,1128.2
0.75,79.621,1125.2
0.75,80.329,1123.2
0.75,81.037,1121.2
0.75,81.745,1119.2
0.75,82.454,1116.2
0.75,83.161,1115.2
0.75,83.869,1113.2
0.75,84.574,1113.2
0.75,85.282,1111.2
0.75,85.988,1111.2
0.75,86.695,1110.2
0.75,87.401,1110.2
0.75,88.108,1109.2
0.75,88.814,1109.2
0.75,89.52,1109.2
0.75,90.227,1108.2
0.75,90.881,1110.2
0.75,91.587,1110.2
0.75,92.293,1110.2
0.75,92.998,1111.2
0.75,93.703,1112.2
0.75,94.408,1113.2
0.75,95.114,1113.2
0.75,95.819,1114.2
0.75,96.523,1116.2
0.75,97.227,1118.2
0.75,97.931,1120.2
0.75,98.634,1123.2
0.75,99.338,1125.2
0.75,100.042,1127.2
0.75,100.746,1129.2
0.75,101.449,1132.2
0.75,102.152,1135.2
0.75,102.854,1139.2
0.75,103.557,1142.2
0.75,104.26,1145.2
0.75,104.962,1149.2
0.75,105.664,1153.2
0.75,106.367,1157.2
0.75,107.068,1162.2
0.75,107.77,1166.2
0.75,108.471,1172.2
0.75,109.172,1177.2
0.75,109.875,1181.2
0.75,110.574,1188.2
0.75,111.276,1193.2
0.75,111.977,1199.2
0.75,112.677,1206.2
0.75,113.378,1212.2
0.75,114.079,1218.2
0.75,114.778,1226.2
0.75,115.478,1233.2
0.75,116.178,1240.2
0.75,116.877,1249.2
0.75,117.577,1257.2
0.75,118.277,1264.2
0.75,118.988,1274.2
0.75,119.685,1282.2
0.75,120.378,1294.2
0.75,121.075,1302.2
0.75,121.771,1311.2
0.75,122.464,1323.2
0.75,123.159,1334.2
0.75,123.853,1346.2
0.75,124.549,1356.2
0.75,125.242,1369.2
0.75,125.936,1382.2
0.75,126.63,1395.2
0.75,127.325,1408.2
0.75,128.018,1422.2
0.75,128.712,1436.2
0.75,129.406,1450.2
0.75,130.099,1466.2
0.75,130.793,1482.2
0.75,131.487,1497.2
0.75,132.179,1516.2
0.75,132.872,1533.2
0.75,133.565,1550.2
0.75,134.258,1570.2
0.75,134.95,1590.2
0.75,135.643,1609.2
0.75,136.335,1631.2
0.75,137.028,1653.2
0.75,137.721,1674.2
0.75,138.412,1700.2
0.75,139.103,1726.2
0.75,139.796,1750.2
0.75,140.487,1777.2
0.75,141.18,1802.2
0.75,141.871,1832.2
0.75,142.563,1862.2
0.75,143.254,1895.2
0.75,143.945,1927.2
0.75,144.636,1962.2
0.75,145.328,1997.2
0.75,146.018,2036.2
0.75,146.725,2076.2
0.75,147.418,2105.2
0.75,148.109,2141.2
0.75,148.804,2161.2
0.75,149.502,2170.2
0.75,150.203,2170.2
0.75,150.904,2169.2
0.75,151.652,2003.5
0.75,152.397,1867.5
0.75,153.087,1898.2
0.75,153.766,1965.5
0.75,154.434,2074.5
0.75,155.128,2095.2
0.75,155.833,2083.2
0.75,156.535,2076.2
0.75,157.24,2063.2
0.75,157.943,2054.2
0.75,158.646,2046.2
0.75,159.35,2036.2
0.75,160.053,2027.2
0.75,160.757,2018.2
0.75,161.459,2013.2
0.75,162.163,2003.2
0.75,162.865,1996.2
0.75,163.569,1988.2
0.75,164.271,1984.2
0.75,164.974,1976.2
0.75,165.676,1971.2
0.75,166.379,1964.2
0.75,167.081,1960.2
0.75,167.783,1956.2
0.75,168.485,1951.2
0.75,169.187,1947.2
0.75,169.89,1941.2
0.75,170.592,1937.2
0.75,171.294,1935.2
0.75,171.996,1930.2
0.75,172.697,1928.2
0.75,173.399,1926.2
0.75,174.1,1925.2
0.75,174.818,1925.2
0.75,175.528,1922.2
0.75,176.237,1922.2
0.75,176.946,1921.2
0.75,177.655,1919.2
0.75,178.364,1920.2
0.75,179.073,1919.2
0.75,179.78,1923.2
0.75,180.49,1920.2
0.75,181.199,1920.2
0.75,181.907,1922.2
0.75,182.615,1924.2
0.75,183.323,1926.2
0.75,184.032,1926.2
0.75,184.74,1927.2
0.75,185.448,1931.2
0.75,186.157,1930.2
0.75,186.863,1938.2
0.75,187.571,1940.2
0.75,188.279,1943.2
0.75,188.986,1946.2
0.75,189.693,1953.2
0.75,190.401,1956.2
0.75,191.107,1962.2
0.75,191.816,1961.2
0.75,200.316,147.5
0.75,201.446,140.5
0.75,202.569,134.2
0.75,203.712,128.2
0.75,204.816,123.2
0.75,332.763,238.5
0.75,332.877,268.5
0.75,331.62,979.5
0.75,331.882,1498.5
0.75,332.386,1960.5
0.75,359.621,2427.5
0.75,0.407,2086.5
0.75,1.116,2068.2
0.75,1.821,2061.2
0.75,2.525,2061.2
0.75,3.232,2048.2
0.75,3.937,2042.2
0.75,4.641,2043.2
0.75,5.343,2048.2
0.75,6.061,2049.2
0.75,6.758,2054.2
0.75,7.455,2057.2
0.75,8.152,2060.2
0.75,8.848,2064.2
0.75,9.545,2068.2
0.75,10.241,2074.2
0.75,10.939,2076.2
0.75,11.635,2082.2
0.75,12.335,2076.2
0.75,13.035,2068.2
0.75,13.733,2066.2
0.75,14.417,2115.2
0.75,15.106,2150.2
0.75,15.806,2141.2
0.75,16.505,2136.2
0.75,17.202,2140.2
0.75,17.899,2144.2
0.75,18.595,2153.2
0.75,19.291,2160.2
0.75,19.986,2171.2
0.75,20.68,2185.2
0.75,21.38,2177.2
0.75,22.078,2175.2
0.75,22.7,2515.5
0.75,23.387,2573.2
0.75,24.085,2570.2
0.75,24.786,2556.2
0.75,25.489,2529.2
0.75,26.2,2464.5
0.75,26.91,2405.2
0.75,27.621,2345.2
0.75,28.33,2294.2
0.75,29.041,2242.2
0.75,29.75,2197.2
0.75,30.46,2151.2
0.75,31.17,2107.2
0.75,31.879,2067.2
0.75,32.588,2029.2
0.75,33.299,1986.5
0.75,34.028,1952.2
0.75,34.74,1919.2
0.75,35.452,1887.2
0.75,36.164,1856.2
0.75,36.877,1825.2
0.75,37.589,1795.2
0.75,38.301,1767.2
0.75,39.012,1742.2
0.75,39.724,1716.2
0.75,40.436,1690.2
0.75,41.147,1667.2
0.75,41.859,1643.2
0.75,42.57,1621.2
0.75,43.282,1599.2
0.75,43.993,1579.2
0.75,44.704,1559.2
0.75,45.415,1540.2
0.75,46.126,1520.2
0.75,46.837,1503.2
0.75,47.546,1488.2
0.75,48.257,1471.2
0.75,48.967,1455.2
0.75,49.676,1441.2
0.75,50.387,1425.2
0.75,51.097,1411.2
0.75,51.806,1398.2
0.75,52.515,1385.2
0.75,53.224,1373.2
0.75,53.934,1360.2
0.75,54.642,1350.2
0.75,55.352,1337.2
0.75,56.06,1327.2
0.75,56.769,1316.2
